MonitoringLocationIdentifier,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode
USGS-03470210,Iron,Recoverable,1800,ug/l
USGS-03470210,Lead,Recoverable,,
USGS-03470210,Manganese,Recoverable,120,ug/l
USGS-03470210,Molybdenum,Recoverable,,
USGS-03470210,Nickel,Recoverable,,
USGS-03470210,Silver,Recoverable,,
USGS-03470210,Vanadium,Total,,
USGS-03470210,Zinc,Recoverable,70,ug/l
USGS-03470210,Tin,Recoverable,,
USGS-03470210,Aluminum,Recoverable,1900,ug/l
USGS-03470210,Lithium,Recoverable,,
USGS-03470210,Titanium,Total,,
USGS-03470210,Mercury,Recoverable,,
USGS-03468510,Barium,Recoverable,,
USGS-03468510,Beryllium,Recoverable,,
USGS-03468510,Cadmium,Total,,
USGS-03468510,Chromium,Recoverable,,
USGS-03468510,Copper,Recoverable,120,ug/l
USGS-03468510,Iron,Recoverable,320,ug/l
USGS-03468510,Lead,Recoverable,,
USGS-03468510,Manganese,Recoverable,70,ug/l
USGS-03468510,Nickel,Recoverable,,
USGS-03468510,Silver,Recoverable,,
USGS-03468510,Zinc,Recoverable,40,ug/l
USGS-03468510,Aluminum,Recoverable,400,ug/l
USGS-03468510,Lithium,Recoverable,,
USGS-03468510,Titanium,Total,,
USGS-03468510,Mercury,Recoverable,1.6,ug/l
USGS-03468510,Iron,Recoverable,400,ug/l
USGS-03468510,Manganese,Recoverable,40,ug/l
USGS-03468510,Iron,Recoverable,230,ug/l
USGS-03468510,Manganese,Recoverable,70,ug/l
USGS-03469122,Iron,Recoverable,190,ug/l
USGS-03469122,Iron,Dissolved,,
USGS-03469122,Manganese,Recoverable,,
USGS-03469122,Manganese,Dissolved,,
USGS-03470210,Barium,Recoverable,,
USGS-03470210,Beryllium,Recoverable,,
USGS-03470210,Cadmium,Total,,
USGS-03470210,Chromium,Recoverable,,
USGS-03470210,Copper,Recoverable,30,ug/l
USGS-03470210,Iron,Recoverable,4000,ug/l
USGS-03470210,Lead,Recoverable,,
USGS-03470210,Manganese,Recoverable,130,ug/l
USGS-03470210,Molybdenum,Recoverable,,
USGS-03470210,Nickel,Recoverable,,
USGS-03470210,Silver,Recoverable,,
USGS-03470210,Vanadium,Total,,
USGS-03470210,Zinc,Recoverable,30,ug/l
USGS-03470210,Tin,Recoverable,,
USGS-03470210,Aluminum,Recoverable,2500,ug/l
USGS-03470210,Lithium,Recoverable,,
USGS-03470210,Titanium,Total,,
USGS-03470210,Mercury,Recoverable,,
USGS-03469122,Iron,Recoverable,50,ug/l
USGS-03469122,Iron,Dissolved,,
USGS-03469122,Iron,Recoverable,120,ug/l
USGS-03469122,Iron,Dissolved,,
USGS-03469122,Manganese,Recoverable,,
USGS-03469122,Manganese,Dissolved,,
USGS-03469122,Iron,Recoverable,470,ug/l
USGS-03469122,Iron,Dissolved,,
USGS-03469122,Manganese,Recoverable,20,ug/l
USGS-03469122,Manganese,Dissolved,,
USGS-03469122,Iron,Recoverable,310,ug/l
USGS-03469122,Iron,Dissolved,110,ug/l
USGS-03469122,Manganese,Recoverable,50,ug/l
USGS-03469122,Manganese,Dissolved,,
USGS-03470025,Barium,Recoverable,,
USGS-03470025,Beryllium,Recoverable,,
USGS-03470025,Cadmium,Total,,
USGS-03470025,Chromium,Recoverable,,
USGS-03470025,Cobalt,Recoverable,,
USGS-03470025,Copper,Recoverable,130,ug/l
USGS-03470025,Iron,Recoverable,1700,ug/l
USGS-03470025,Lead,Recoverable,,
USGS-03470025,Manganese,Recoverable,40,ug/l
USGS-03470025,Molybdenum,Recoverable,,
USGS-03470025,Nickel,Recoverable,,
USGS-03470025,Silver,Recoverable,,
USGS-03470025,Vanadium,Total,,
USGS-03470025,Zinc,Recoverable,50,ug/l
USGS-03470025,Tin,Recoverable,,
USGS-03470025,Aluminum,Recoverable,1600,ug/l
USGS-03470025,Lithium,Recoverable,,
USGS-03470025,Titanium,Total,,
USGS-03470025,Mercury,Recoverable,,
USGS-03468510,Copper,Recoverable,40,ug/l
USGS-03468510,Barium,Recoverable,,
USGS-03468510,Beryllium,Recoverable,,
USGS-03468510,Cadmium,Total,,
USGS-03468510,Chromium,Recoverable,34,ug/l
USGS-03468510,Iron,Recoverable,230,ug/l
USGS-03468510,Lead,Recoverable,,
USGS-03468510,Manganese,Recoverable,50,ug/l
USGS-03468510,Nickel,Recoverable,,
USGS-03468510,Silver,Recoverable,,
USGS-03468510,Zinc,Recoverable,150,ug/l
USGS-03468510,Aluminum,Recoverable,500,ug/l
USGS-03468510,Lithium,Recoverable,,
USGS-03468510,Titanium,Total,,
USGS-03468510,Mercury,Recoverable,,
USGS-03469122,Iron,Recoverable,,
USGS-03469122,Iron,Dissolved,,
USGS-03469122,Manganese,Recoverable,,
USGS-03469122,Manganese,Dissolved,,
USGS-03468510,Iron,Recoverable,620,ug/l
USGS-03468510,Manganese,Recoverable,60,ug/l
USGS-03469122,Iron,Recoverable,190,ug/l
USGS-03469122,Iron,Dissolved,,
USGS-03469122,Manganese,Recoverable,60,ug/l
USGS-03469122,Manganese,Dissolved,,
USGS-03468510,Iron,Recoverable,470,ug/l
USGS-03468510,Manganese,Recoverable,20,ug/l
USGS-03468510,Iron,Recoverable,710,ug/l
USGS-03468510,Manganese,Recoverable,100,ug/l
USGS-03469122,Iron,Recoverable,220,ug/l
USGS-03469122,Iron,Dissolved,150,ug/l
USGS-03469122,Manganese,Recoverable,,
USGS-03469122,Manganese,Dissolved,,
USGS-03469122,Iron,Recoverable,200,ug/l
USGS-03469122,Manganese,Recoverable,220,ug/l
USGS-03468510,Iron,Recoverable,630,ug/l
USGS-03468510,Manganese,Recoverable,50,ug/l
USGS-03468510,Iron,Recoverable,200,ug/l
USGS-03468510,Manganese,Recoverable,30,ug/l
USGS-03470025,Barium,Recoverable,,
USGS-03470025,Beryllium,Recoverable,,
USGS-03470025,Cadmium,Total,,
USGS-03470025,Chromium,Recoverable,5,ug/l
USGS-03470025,Cobalt,Recoverable,,
USGS-03470025,Copper,Recoverable,30,ug/l
USGS-03470025,Iron,Recoverable,3400,ug/l
USGS-03470025,Lead,Recoverable,,
USGS-03470025,Manganese,Recoverable,130,ug/l
USGS-03470025,Molybdenum,Recoverable,,
USGS-03470025,Nickel,Recoverable,,
USGS-03470025,Silver,Recoverable,,
USGS-03470025,Vanadium,Total,,
USGS-03470025,Zinc,Recoverable,20,ug/l
USGS-03470025,Tin,Recoverable,,
USGS-03470025,Aluminum,Recoverable,1900,ug/l
USGS-03470025,Lithium,Recoverable,,
USGS-03470025,Titanium,Total,,
USGS-03470025,Mercury,Recoverable,,
USGS-03468510,Iron,Recoverable,660,ug/l
USGS-03468510,Manganese,Recoverable,160,ug/l
USGS-03468510,Barium,Recoverable,,
USGS-03468510,Beryllium,Recoverable,,
USGS-03468510,Cadmium,Total,,
USGS-03468510,Chromium,Recoverable,,
USGS-03468510,Copper,Recoverable,20,ug/l
USGS-03468510,Iron,Recoverable,850,ug/l
USGS-03468510,Lead,Recoverable,,
USGS-03468510,Manganese,Recoverable,60,ug/l
USGS-03468510,Nickel,Recoverable,,
USGS-03468510,Silver,Recoverable,,
USGS-03468510,Zinc,Recoverable,40,ug/l
USGS-03468510,Aluminum,Recoverable,800,ug/l
USGS-03468510,Lithium,Recoverable,,
USGS-03468510,Titanium,Total,,
USGS-03468510,Mercury,Recoverable,,
USGS-03469122,Iron,Recoverable,70,ug/l
USGS-03469122,Iron,Dissolved,,
USGS-03469122,Manganese,Recoverable,,
USGS-03469122,Manganese,Dissolved,,
USGS-03470025,Barium,Recoverable,,
USGS-03470025,Beryllium,Recoverable,,
USGS-03470025,Cadmium,Total,,
USGS-03470025,Chromium,Recoverable,,
USGS-03470025,Cobalt,Recoverable,,
USGS-03470025,Copper,Recoverable,,
USGS-03470025,Iron,Recoverable,910,ug/l
USGS-03470025,Lead,Recoverable,,
USGS-03470025,Manganese,Recoverable,30,ug/l
USGS-03470025,Molybdenum,Recoverable,,
USGS-03470025,Nickel,Recoverable,,
USGS-03470025,Silver,Recoverable,,
USGS-03470025,Vanadium,Total,,
USGS-03470025,Zinc,Recoverable,20,ug/l
USGS-03470025,Tin,Recoverable,,
USGS-03470025,Aluminum,Recoverable,600,ug/l
USGS-03470025,Lithium,Recoverable,,
USGS-03470025,Titanium,Total,,
USGS-03470025,Mercury,Recoverable,,
USGS-03468510,Barium,Recoverable,,
USGS-03468510,Beryllium,Recoverable,,
USGS-03468510,Cadmium,Total,,
USGS-03468510,Copper,Recoverable,,
USGS-03468510,Iron,Recoverable,520,ug/l
USGS-03468510,Lead,Recoverable,,
USGS-03468510,Manganese,Recoverable,50,ug/l
USGS-03468510,Nickel,Recoverable,,
USGS-03468510,Silver,Recoverable,,
USGS-03468510,Zinc,Recoverable,420,ug/l
USGS-03468510,Aluminum,Recoverable,1300,ug/l
USGS-03468510,Lithium,Recoverable,,
USGS-03468510,Titanium,Total,,
USGS-03468510,Mercury,Recoverable,,
USGS-03468510,Cadmium,Total,,
USGS-03468510,Copper,Recoverable,,
USGS-03468510,Iron,Recoverable,780,ug/l
USGS-03468510,Lead,Recoverable,,
USGS-03468510,Manganese,Recoverable,40,ug/l
USGS-03468510,Nickel,Recoverable,,
USGS-03468510,Zinc,Recoverable,60,ug/l
USGS-03468510,Aluminum,Recoverable,400,ug/l
USGS-03468510,Mercury,Recoverable,,
USGS-03468510,Barium,Recoverable,,
USGS-03468510,Beryllium,Recoverable,,
USGS-03468510,Cadmium,Total,,
USGS-03468510,Copper,Recoverable,,
USGS-03468510,Iron,Recoverable,710,ug/l
USGS-03468510,Lead,Recoverable,,
USGS-03468510,Manganese,Recoverable,100,ug/l
USGS-03468510,Nickel,Recoverable,,
USGS-03468510,Silver,Recoverable,,
USGS-03468510,Zinc,Recoverable,60,ug/l
USGS-03468510,Aluminum,Recoverable,700,ug/l
USGS-03468510,Lithium,Recoverable,,
USGS-03468510,Titanium,Total,,
USGS-03468510,Mercury,Recoverable,,
USGS-03468510,Iron,Recoverable,490,ug/l
USGS-03468510,Manganese,Recoverable,170,ug/l
USGS-03468510,Iron,Recoverable,440,ug/l
USGS-03468510,Manganese,Recoverable,90,ug/l
USGS-03468510,Iron,Recoverable,430,ug/l
USGS-03468510,Manganese,Recoverable,50,ug/l
USGS-03468510,Iron,Recoverable,4600,ug/l
USGS-03468510,Manganese,Recoverable,40,ug/l
USGS-03468510,Iron,Recoverable,1100,ug/l
USGS-03468510,Manganese,Recoverable,170,ug/l
USGS-03468510,Iron,Recoverable,1100,ug/l
USGS-03468510,Manganese,Recoverable,100,ug/l
USGS-03510815,Chromium,Dissolved,,
USGS-03510815,Chromium,Suspended,,
USGS-03510815,Chromium,Recoverable,,
USGS-03510815,Copper,Dissolved,,
USGS-03510815,Copper,Suspended,1,ug/l
USGS-03510815,Copper,Recoverable,,
USGS-03510815,Iron,Recoverable,100,ug/l
