Number,Species,Plot_Trans_Survey,Date,Lat,Long
4,PJOR,13-1-6/15/2012,06/15/2012,35.598905,-83.40175
1,DWRI,13-1-6/15/2012,06/15/2012,35.598905,-83.40175
1,DIMI,13-1-6/15/2012,06/15/2012,35.598905,-83.40175
1,EWIL,13-1-6/15/2012,06/15/2012,35.598905,-83.40175
3,PJOR,13-1-6/15/2012,06/15/2012,35.598905,-83.40175
7,DWRI,13-1-6/15/2012,06/15/2012,35.598905,-83.40175
3,EWIL,13-1-6/15/2012,06/15/2012,35.598905,-83.40175
4,PJOR,13-1-6/15/2012,06/15/2012,35.598905,-83.40175
2,DWRI,13-1-6/15/2012,06/15/2012,35.598905,-83.40175
1,EWIL,13-2-6/15/2012,06/15/2012,35.598893,-83.401897
3,PJOR,13-2-6/15/2012,06/15/2012,35.598893,-83.401897
4,DWRI,13-2-6/15/2012,06/15/2012,35.598893,-83.401897
2,EWIL,13-2-6/15/2012,06/15/2012,35.598893,-83.401897
5,PJOR,13-2-6/15/2012,06/15/2012,35.598893,-83.401897
2,DWRI,13-2-6/15/2012,06/15/2012,35.598893,-83.401897
5,EWIL,13-2-6/15/2012,06/15/2012,35.598893,-83.401897
2,PJOR,13-2-6/15/2012,06/15/2012,35.598893,-83.401897
4,DWRI,13-2-6/15/2012,06/15/2012,35.598893,-83.401897
3,EWIL,13-2-6/15/2012,06/15/2012,35.598893,-83.401897
4,PJOR,13-2-6/15/2012,06/15/2012,35.598893,-83.401897
2,DWRI,13-2-6/15/2012,06/15/2012,35.598893,-83.401897
4,EWIL,13-2-6/15/2012,06/15/2012,35.598893,-83.401897
5,PJOR,13-2-6/15/2012,06/15/2012,35.598893,-83.401897
3,DWRI,13-2-6/15/2012,06/15/2012,35.598893,-83.401897
4,PJOR,13-3-6/15/2012,06/15/2012,35.598891,-83.401945
5,DWRI,13-3-6/15/2012,06/15/2012,35.598891,-83.401945
2,EWIL,13-3-6/15/2012,06/15/2012,35.598891,-83.401945
3,PJOR,13-3-6/15/2012,06/15/2012,35.598891,-83.401945
3,DWRI,13-3-6/15/2012,06/15/2012,35.598891,-83.401945
1,EWIL,13-3-6/15/2012,06/15/2012,35.598891,-83.401945
3,PJOR,13-3-6/15/2012,06/15/2012,35.598891,-83.401945
5,DWRI,13-3-6/15/2012,06/15/2012,35.598891,-83.401945
1,DIMI,13-3-6/15/2012,06/15/2012,35.598891,-83.401945
2,EWIL,13-3-6/15/2012,06/15/2012,35.598891,-83.401945
4,PJOR,13-3-6/15/2012,06/15/2012,35.598891,-83.401945
3,DWRI,13-3-6/15/2012,06/15/2012,35.598891,-83.401945
1,EWIL,13-3-6/15/2012,06/15/2012,35.598891,-83.401945
3,PJOR,13-3-6/15/2012,06/15/2012,35.598891,-83.401945
1,DWRI,13-3-6/15/2012,06/15/2012,35.598891,-83.401945
1,DOCO,13-4-6/15/2012,06/15/2012,35.598798,-83.402009
3,PJOR,13-4-6/15/2012,06/15/2012,35.598798,-83.402009
1,DWRI,13-4-6/15/2012,06/15/2012,35.598798,-83.402009
1,EWIL,13-4-6/15/2012,06/15/2012,35.598798,-83.402009
3,PJOR,13-4-6/15/2012,06/15/2012,35.598798,-83.402009
2,EWIL,13-4-6/15/2012,06/15/2012,35.598798,-83.402009
6,PJOR,13-4-6/15/2012,06/15/2012,35.598798,-83.402009
3,DWRI,13-4-6/15/2012,06/15/2012,35.598798,-83.402009
3,PJOR,13-4-6/15/2012,06/15/2012,35.598798,-83.402009
3,PJOR,13-4-6/15/2012,06/15/2012,35.598798,-83.402009
1,DIMI,13-1-6/16/2012,06/16/2012,35.598905,-83.40175
1,DOCO,13-1-6/16/2012,06/16/2012,35.598905,-83.40175
5,EWIL,13-1-6/16/2012,06/16/2012,35.598905,-83.40175
9,PJOR,13-1-6/16/2012,06/16/2012,35.598905,-83.40175
3,DWRI,13-1-6/16/2012,06/16/2012,35.598905,-83.40175
4,EWIL,13-1-6/16/2012,06/16/2012,35.598905,-83.40175
7,PJOR,13-1-6/16/2012,06/16/2012,35.598905,-83.40175
4,DWRI,13-1-6/16/2012,06/16/2012,35.598905,-83.40175
2,EWIL,13-1-6/16/2012,06/16/2012,35.598905,-83.40175
7,PJOR,13-1-6/16/2012,06/16/2012,35.598905,-83.40175
3,DWRI,13-1-6/16/2012,06/16/2012,35.598905,-83.40175
2,DIMI,13-1-6/16/2012,06/16/2012,35.598905,-83.40175
7,EWIL,13-1-6/16/2012,06/16/2012,35.598905,-83.40175
6,PJOR,13-1-6/16/2012,06/16/2012,35.598905,-83.40175
5,DWRI,13-1-6/16/2012,06/16/2012,35.598905,-83.40175
1,DIMI,13-1-6/16/2012,06/16/2012,35.598905,-83.40175
5,EWIL,13-1-6/16/2012,06/16/2012,35.598905,-83.40175
5,PJOR,13-1-6/16/2012,06/16/2012,35.598905,-83.40175
2,EWIL,13-2-6/16/2012,06/16/2012,35.598893,-83.401897
6,DWRI,13-2-6/16/2012,06/16/2012,35.598893,-83.401897
2,DIMI,13-2-6/16/2012,06/16/2012,35.598893,-83.401897
2,EWIL,13-2-6/16/2012,06/16/2012,35.598893,-83.401897
5,PJOR,13-2-6/16/2012,06/16/2012,35.598893,-83.401897
4,DWRI,13-2-6/16/2012,06/16/2012,35.598893,-83.401897
2,EWIL,13-2-6/16/2012,06/16/2012,35.598893,-83.401897
3,PJOR,13-2-6/16/2012,06/16/2012,35.598893,-83.401897
2,DWRI,13-2-6/16/2012,06/16/2012,35.598893,-83.401897
4,PJOR,13-2-6/16/2012,06/16/2012,35.598893,-83.401897
2,DWRI,13-2-6/16/2012,06/16/2012,35.598893,-83.401897
3,EWIL,13-2-6/16/2012,06/16/2012,35.598893,-83.401897
6,PJOR,13-2-6/16/2012,06/16/2012,35.598893,-83.401897
5,DWRI,13-2-6/16/2012,06/16/2012,35.598893,-83.401897
8,PJOR,13-3-6/16/2012,06/16/2012,35.598891,-83.401945
3,DWRI,13-3-6/16/2012,06/16/2012,35.598891,-83.401945
1,EWIL,13-3-6/16/2012,06/16/2012,35.598891,-83.401945
2,PJOR,13-3-6/16/2012,06/16/2012,35.598891,-83.401945
4,DWRI,13-3-6/16/2012,06/16/2012,35.598891,-83.401945
1,EWIL,13-3-6/16/2012,06/16/2012,35.598891,-83.401945
2,PJOR,13-3-6/16/2012,06/16/2012,35.598891,-83.401945
1,DWRI,13-3-6/16/2012,06/16/2012,35.598891,-83.401945
3,PJOR,13-3-6/16/2012,06/16/2012,35.598891,-83.401945
1,DOCO,13-3-6/16/2012,06/16/2012,35.598891,-83.401945
3,EWIL,13-3-6/16/2012,06/16/2012,35.598891,-83.401945
9,PJOR,13-3-6/16/2012,06/16/2012,35.598891,-83.401945
1,DIMI,13-4-6/16/2012,06/16/2012,35.598798,-83.402009
4,PJOR,13-4-6/16/2012,06/16/2012,35.598798,-83.402009
3,DWRI,13-4-6/16/2012,06/16/2012,35.598798,-83.402009
